League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout;Game Id
0;2000-10-9;23;0;229;0;Regular Season;0;0;0;18708
0;2000-10-9;21;0;14;0;Regular Season;0;0;0;18723
0;2000-10-9;15;0;10;0;Regular Season;0;0;0;18677
0;2000-10-10;224;0;9;0;Regular Season;0;0;0;18655
0;2000-10-10;216;0;3;0;Regular Season;0;0;0;18646
0;2000-10-10;220;0;20;0;Regular Season;0;0;0;18639
0;2000-10-10;227;0;26;0;Regular Season;0;0;0;18637
0;2000-10-10;11;0;5;0;Regular Season;0;0;0;18644
0;2000-10-10;217;0;25;0;Regular Season;0;0;0;18686
0;2000-10-10;12;0;229;0;Regular Season;0;0;0;18664
0;2000-10-10;19;0;8;0;Regular Season;0;0;0;18641
0;2000-10-10;21;0;18;0;Regular Season;0;0;0;18691
0;2000-10-10;22;0;221;0;Regular Season;0;0;0;18693
0;2000-10-10;0;0;24;0;Regular Season;0;0;0;18663
0;2000-10-11;24;0;227;0;Regular Season;0;0;0;18665
0;2000-10-11;14;0;230;0;Regular Season;0;0;0;18820
0;2000-10-11;12;0;15;0;Regular Season;0;0;0;18720
0;2000-10-11;11;0;221;0;Regular Season;0;0;0;18682
0;2000-10-11;224;0;17;0;Regular Season;0;0;0;18640
0;2000-10-11;25;0;23;0;Regular Season;0;0;0;18726
0;2000-10-12;216;0;15;0;Regular Season;0;0;0;18673
0;2000-10-12;18;0;16;0;Regular Season;0;0;0;18634
0;2000-10-12;230;0;19;0;Regular Season;0;0;0;18658
0;2000-10-12;0;0;217;0;Regular Season;0;0;0;18674
0;2000-10-12;8;0;10;0;Regular Season;0;0;0;18657
0;2000-10-12;23;0;21;0;Regular Season;0;0;0;19798
0;2000-10-12;20;0;26;0;Regular Season;0;0;0;18650
0;2000-10-12;17;0;5;0;Regular Season;0;0;0;18628
0;2000-10-12;9;0;214;0;Regular Season;0;0;0;18767
0;2000-10-13;214;0;14;0;Regular Season;0;0;0;19001
0;2000-10-13;224;0;5;0;Regular Season;0;0;0;18652
0;2000-10-13;220;0;8;0;Regular Season;0;0;0;18642
0;2000-10-13;216;0;22;0;Regular Season;0;0;0;18636
0;2000-10-13;12;0;11;0;Regular Season;0;0;0;18729
0;2000-10-13;10;0;221;0;Regular Season;0;0;0;18692
0;2000-10-13;229;0;227;0;Regular Season;0;0;0;18668
0;2000-10-14;22;0;16;0;Regular Season;0;0;0;18648
0;2000-10-14;17;0;221;0;Regular Season;0;0;0;19788
0;2000-10-14;21;0;20;0;Regular Season;0;0;0;18670
