Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
1439;3;61;1872;13516;1260;216;ES;3
1439;3;378;881;12412;1091;229;PP;2
1439;3;406;13081;1565;13113;216;ES;3
1439;3;976;1326;12397;375;216;ES;3
1441;1;783;556;13008;13089;9;ES;2
1441;3;1196;14988;12516;;9;ES, ENG;1
1443;1;348;1528;1292;13573;23;ES;2
1443;1;837;1409;13603;1022;25;ES;3
1443;2;898;13505;1251;13510;23;ES;3
1443;3;121;1032;12052;14574;25;ES;4
1445;1;266;1661;;;14;PP;4
1445;1;525;15107;1661;13508;14;ES;4
1445;2;208;13523;13508;13553;14;SH;2
1445;3;414;1784;13500;681;14;ES;3
1445;3;1148;14514;14133;13602;12;ES;2
1447;1;1191;15078;14965;11979;16;ES;2
1447;2;206;15025;15054;698;5;ES;3
1447;2;467;14740;15024;14526;16;ES;2
1447;2;1073;1736;13507;698;5;ES;3
1447;3;47;14111;13588;14487;16;ES;2
1447;3;212;698;16008;13054;5;ES;3
1447;3;773;15078;13588;13037;16;ES;3
1449;1;440;696;1244;;220;ES;1
1449;1;829;12501;696;178;220;PP;3
1449;1;1157;16539;14599;617;3;ES;3
1449;2;446;16539;14804;13796;3;ES;4
1449;3;342;1588;178;12034;220;SH;2
1451;1;818;12459;980;12496;217;ES;4
1451;1;1094;14094;960;13069;0;ES;3
1451;3;644;177;13597;13069;0;ES;4
1453;1;50;14570;12452;;15;ES;2
1453;2;298;13063;12484;14100;8;ES;3
1453;2;420;13497;14147;1864;8;PP;2
1453;2;586;13554;;;15;ES;3
1453;2;689;15472;13554;14118;15;ES;4
1453;3;60;1864;12076;15103;8;PP;3
1453;3;820;12439;12402;11983;8;ES;2
1453;3;866;14777;14597;15019;15;ES;2
1453;OT1;218;1651;12513;14147;8;ES;3
1455;1;678;1414;855;13012;21;PP;2
1455;2;440;146;1086;14025;230;PP;2
1455;2;980;12074;12066;13012;21;PP;3
1455;3;365;12072;12066;12405;21;ES;3
1455;3;484;12074;12426;12030;21;ES;3
1455;3;962;1213;1598;146;230;ES;2
1457;1;382;14543;13526;1173;224;ES;2
1457;1;903;12994;14974;15476;224;ES;3
1457;2;774;14974;12071;12994;224;ES;3
1457;2;1167;1457;15002;15084;224;ES;3
1457;3;324;13604;1173;;224;PP;3
1459;1;21;1517;6;28;19;ES;1
1459;1;80;6;13503;1175;19;PP;4
1459;1;188;14048;15043;;221;ES;2
1459;1;290;11997;14048;12543;221;PP;3
1459;2;92;15043;14106;16061;221;ES;3
1459;2;314;1517;13121;1175;19;ES;1
1459;2;1021;14106;12543;16061;221;ES;1
1459;2;1079;13026;16061;13038;221;ES;2
1459;3;516;14112;13503;6;19;ES;2
1459;3;775;13502;;;19;ES;3
1461;1;607;12551;908;989;11;PP;1
1461;1;926;1801;494;1108;11;ES;3
1461;2;1048;908;;;11;ES;1
1461;2;1128;1210;13518;13131;10;ES;4
1461;3;185;13091;1866;494;11;ES;1
1461;3;443;15106;;;10;ES;2
1461;3;840;989;12551;908;11;ES;4
1463;1;153;13008;556;16013;9;ES;4
1463;1;981;908;1108;12391;11;ES;4
1463;3;364;1790;12013;771;11;ES;4
1465;1;1179;13573;13510;;23;PP;3
1465;2;656;206;15043;12081;221;ES;2
1467;1;189;12505;14141;1042;217;ES;2
1467;2;635;12397;13113;12065;216;PP;3
1467;2;1012;1842;1042;14141;217;ES;3
1467;3;262;12067;1159;980;217;PP;4
1467;3;320;12996;1628;980;217;SH;3
1469;1;239;12052;12042;55;25;ES;2
1469;1;401;951;1022;14995;25;ES;1
1469;1;1115;1409;951;13108;25;PP;3
