season,award_name,player_id,team_id,staff_id,notes
1951-52,WILLIAM JENNINGS  TROPHY,439,,,complex_winner=Chuck Rayner / Glenn Hall; unresolved_player=Chuck Rayner / Glenn Hall
1951-52,TED LINDSAY  TROPHY,2831,,,
1952-53,VEZINA TROPHY,2959,,,
1952-53,LADY BYNG TROPHY,436,,,
1952-53,CONN SMYTHE TROPHY,225,,,
1952-53,HART TROPHY,2831,,,
1952-53,JACK ADAMS TROPHY,,8,,unresolved_player=OilEmpire
1952-53,WILLIAM JENNINGS  TROPHY,2959,,,
1952-53,TED LINDSAY  TROPHY,3131,,,
1953-54,VEZINA TROPHY,2959,,,
1953-54,LADY BYNG TROPHY,2703,,,
1953-54,CONN SMYTHE TROPHY,3131,,,
1953-54,HART TROPHY,3131,,,
1953-54,JACK ADAMS TROPHY,1606,0,56,
1953-54,WILLIAM JENNINGS  TROPHY,3139,,,complex_winner=Emile Francis / Glenn Hall; unresolved_player=Emile Francis / Glenn Hall
1953-54,TED LINDSAY  TROPHY,3131,,,
1954-55,VEZINA TROPHY,2961,,,
1954-55,LADY BYNG TROPHY,377,,,
1954-55,CONN SMYTHE TROPHY,2831,,,
1954-55,HART TROPHY,3131,,,
1954-55,JACK ADAMS TROPHY,,9,,unresolved_player=MSO94
1954-55,WILLIAM JENNINGS  TROPHY,2961,,,complex_winner=Terry Sawchuk / Harry Lumley; unresolved_player=Terry Sawchuk / Harry Lumley
1954-55,TED LINDSAY  TROPHY,3131,,,
1955-56,VEZINA TROPHY,3139,,,
1955-56,LADY BYNG TROPHY,428,,,
1955-56,CONN SMYTHE TROPHY,2831,,,
1955-56,HART TROPHY,3131,,,
1955-56,JACK ADAMS TROPHY,,10,,unresolved_player=Choog
1955-56,WILLIAM JENNINGS  TROPHY,3139,,,
1955-56,TED LINDSAY  TROPHY,3131,,,
1956-57,VEZINA TROPHY,3139,,,
1956-57,LADY BYNG TROPHY,3328,,,
1956-57,CONN SMYTHE TROPHY,447,,,
1956-57,HART TROPHY,2831,,,
1956-57,JACK ADAMS TROPHY,1606,,,
1956-57,WILLIAM JENNINGS  TROPHY,3139,,,
1956-57,TED LINDSAY  TROPHY,3328,,,
1957-58,VEZINA TROPHY,3139,,,
1957-58,LADY BYNG TROPHY,3667,,,
1957-58,CONN SMYTHE TROPHY,3885,,,
1957-58,HART TROPHY,3131,,,
1957-58,JACK ADAMS TROPHY,,5,,unresolved_player=Joey
1957-58,WILLIAM JENNINGS  TROPHY,3317,,,
1957-58,TED LINDSAY  TROPHY,3131,,,
1958-59,VEZINA TROPHY,3139,,,
1958-59,LADY BYNG TROPHY,3565,,,
1958-59,CONN SMYTHE TROPHY,3958,,,
1958-59,HART TROPHY,2831,,,
1958-59,JACK ADAMS TROPHY,,5,,unresolved_player=Joey
1958-59,WILLIAM JENNINGS  TROPHY,61,,,complex_winner=J. Bower/E. Johnston; unresolved_player=J. Bower/E. Johnston
1958-59,TED LINDSAY  TROPHY,3328,,,
1959-60,VEZINA TROPHY,2972,,,
1959-60,LADY BYNG TROPHY,3433,,,
1959-60,CONN SMYTHE TROPHY,3136,,,
1959-60,HART TROPHY,4060,,,
1959-60,JACK ADAMS TROPHY,,5,,unresolved_player=Joey
1959-60,WILLIAM JENNINGS  TROPHY,61,,,complex_winner=J. Bower/E. Johnston; unresolved_player=J. Bower/E. Johnston
1959-60,TED LINDSAY  TROPHY,4060,,,
1960-61,VEZINA TROPHY,3139,,,
1960-61,LADY BYNG TROPHY,3434,,,
1960-61,CONN SMYTHE TROPHY,2967,,,unresolved_player=Dollard St-Laurent
1960-61,HART TROPHY,3318,,,
1960-61,JACK ADAMS TROPHY,1606,10,56,
1960-61,WILLIAM JENNINGS  TROPHY,61,,,complex_winner=J. Bower/E. Johnston; unresolved_player=J. Bower/E. Johnston
1960-61,TED LINDSAY  TROPHY,3131,,,
1961-62,VEZINA TROPHY,3139,,,
1961-62,LADY BYNG TROPHY,3460,,,
1961-62,CONN SMYTHE TROPHY,3885,,,
1961-62,HART TROPHY,4060,,,
1961-62,JACK ADAMS TROPHY,1606,10,56,
1961-62,WILLIAM JENNINGS  TROPHY,3139,,,
1961-62,TED LINDSAY  TROPHY,3131,,,
1962-63,VEZINA TROPHY,3139,,,
1962-63,LADY BYNG TROPHY,4465,,,
1962-63,CONN SMYTHE TROPHY,3450,,,
1962-63,HART TROPHY,2831,,,
1962-63,JACK ADAMS TROPHY,,10,,unresolved_player=Choog
1962-63,WILLIAM JENNINGS  TROPHY,3139,,,complex_winner=Glenn Hall/Seth Martin; unresolved_player=Glenn Hall/Seth Martin
1962-63,TED LINDSAY  TROPHY,3131,,,
1963-64,VEZINA TROPHY,2961,,,
1963-64,LADY BYNG TROPHY,4149,,,
1963-64,CONN SMYTHE TROPHY,4346,,,
1963-64,HART TROPHY,3885,,,
1963-64,JACK ADAMS TROPHY,,5,,unresolved_player=Joey
1963-64,WILLIAM JENNINGS  TROPHY,3679,,,complex_winner=E.Johnston/B.Gamble; unresolved_player=E.Johnston/B.Gamble
1963-64,TED LINDSAY  TROPHY,3885,,,
1964-65,VEZINA TROPHY,4343,,,
1964-65,LADY BYNG TROPHY,3867,,,
1964-65,CONN SMYTHE TROPHY,4756,,,
1964-65,HART TROPHY,4146,,,
1964-65,JACK ADAMS TROPHY,,9,462,unresolved_player=Daniel Staley
1964-65,WILLIAM JENNINGS  TROPHY,2961,,,complex_winner=T. Sawchuk/D. DeJordy; unresolved_player=T. Sawchuk/D. DeJordy
1964-65,TED LINDSAY  TROPHY,4146,,,
1965-66,VEZINA TROPHY,4142,,,
1965-66,LADY BYNG TROPHY,4475,,,
1965-66,CONN SMYTHE TROPHY,4146,,,
1965-66,HART TROPHY,4475,,,
1965-66,JACK ADAMS TROPHY,,3,,unresolved_player=Parchie
1965-66,WILLIAM JENNINGS  TROPHY,4735,,,complex_winner=T. Esposito/J. Plante; unresolved_player=T. Esposito/J. Plante
1965-66,TED LINDSAY  TROPHY,4475,,,
1966-67,VEZINA TROPHY,4735,,,
1966-67,LADY BYNG TROPHY,4729,,,
1966-67,CONN SMYTHE TROPHY,3450,,,
1966-67,HART TROPHY,4146,,,
1966-67,JACK ADAMS TROPHY,,5,,unresolved_player=Joey
1966-67,WILLIAM JENNINGS  TROPHY,4735,,,complex_winner=T. Esposito/J. Plante; unresolved_player=T. Esposito/J. Plante
1966-67,TED LINDSAY  TROPHY,4146,,,
1967-68,VEZINA TROPHY,4960,,,
1967-68,LADY BYNG TROPHY,5078,,,
1967-68,CONN SMYTHE TROPHY,4938,,,
1967-68,HART TROPHY,4060,,,
1967-68,JACK ADAMS TROPHY,,0,,unresolved_player=Skyvendrake
1967-68,WILLIAM JENNINGS  TROPHY,4735,,,complex_winner=T. Esposito/J. Plante; unresolved_player=T. Esposito/J. Plante
1967-68,TED LINDSAY  TROPHY,4060,,,
1942-43,MASTERTON TROPHY,475,,,unresolved_player=Earl Siebert
1942-43,BOILEDEGG'S TROPHY,,3,,
1942-43,BOWL CUP TROPHY,,9,,
1942-43,JIM GREGORY TROPHY,,3,,unresolved_team=Skyler
1942-43,MARK MESSIER LEADERSHIP AWARD,13,,,
1943-44,MASTERTON TROPHY,473,,,
1943-44,BOILEDEGG'S TROPHY,,3,,
1943-44,BOWL CUP TROPHY,,0,,
1943-44,JIM GREGORY TROPHY,,10,,unresolved_team=Choog
1943-44,MARK MESSIER LEADERSHIP AWARD,303,,,
1944-45,MASTERTON TROPHY,51,,,
1944-45,BOILEDEGG'S TROPHY,,3,,
1944-45,BOWL CUP TROPHY,,9,,
1944-45,JIM GREGORY TROPHY,,3,,unresolved_team=Skyler
1944-45,MARK MESSIER LEADERSHIP AWARD,51,,,
1945-46,MASTERTON TROPHY,246,,,
1945-46,BOILEDEGG'S TROPHY,,9,,
1945-46,BOWL CUP TROPHY,,9,,
1945-46,JIM GREGORY TROPHY,,9,,unresolved_team=Ember
1945-46,MARK MESSIER LEADERSHIP AWARD,475,,,unresolved_player=Earl Siebert
1946-47,MASTERTON TROPHY,27,,,
1946-47,BOILEDEGG'S TROPHY,,0,,
1946-47,BOWL CUP TROPHY,,8,,
1946-47,JIM GREGORY TROPHY,,10,,unresolved_team=Choog
1946-47,MARK MESSIER LEADERSHIP AWARD,56,,,
1947-48,MASTERTON TROPHY,13,,,
1947-48,BOILEDEGG'S TROPHY,,0,,
1947-48,BOWL CUP TROPHY,,8,,
1947-48,JIM GREGORY TROPHY,,0,,unresolved_team=LilBoiLoui
1947-48,MARK MESSIER LEADERSHIP AWARD,471,,,
1948-49,MASTERTON TROPHY,0,,,
1948-49,BOILEDEGG'S TROPHY,,0,,
1948-49,BOWL CUP TROPHY,,9,,
1948-49,JIM GREGORY TROPHY,,3,,unresolved_team=Skyler
1948-49,MARK MESSIER LEADERSHIP AWARD,0,,,
1949-50,MASTERTON TROPHY,42,,,
1949-50,BOILEDEGG'S TROPHY,,10,,
1949-50,BOWL CUP TROPHY,,10,,
1949-50,JIM GREGORY TROPHY,,10,,unresolved_team=Choog
1949-50,MARK MESSIER LEADERSHIP AWARD,110,,,
1950-51,MASTERTON TROPHY,512,,,
1950-51,BOILEDEGG'S TROPHY,,9,,
1950-51,BOWL CUP TROPHY,,9,,
1950-51,JIM GREGORY TROPHY,,8,,unresolved_team=OilEmpire
1950-51,MARK MESSIER LEADERSHIP AWARD,447,,,
1951-52,MASTERTON TROPHY,303,,,
1951-52,BOILEDEGG'S TROPHY,,9,,
1951-52,BOWL CUP TROPHY,,9,,
1951-52,JIM GREGORY TROPHY,,3,,unresolved_team=Skyler
1951-52,MARK MESSIER LEADERSHIP AWARD,109,,,
1952-53,MASTERTON TROPHY,56,,,
1952-53,BOILEDEGG'S TROPHY,,8,,
