PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
5472;4;1966;2;6;12;3;89
5473;4;1966;1;4;4;0;84
5475;4;1966;1;2;2;0;83
5477;4;1966;3;5;17;9;83
5109;1;1963;1;2;2;9;-1
5478;5;1967;2;1;13;123;84
5269;3;1965;2;3;9;10;84
5270;5;1967;3;12;36;5;90
5687;4;1966;2;5;11;3;89
5271;4;1966;3;1;13;8;84
5273;3;1965;2;2;8;8;84
5276;3;1965;1;6;6;8;84
5278;2;1964;4;5;23;3;89
5280;5;1967;2;8;20;10;90
5282;2;1964;4;2;20;10;84
3051;0;1948;1;5;5;5;57
5701;4;1966;1;1;1;8;84
5286;2;1964;1;6;6;5;84
5287;2;1964;2;3;9;9;89
5288;2;1964;1;1;1;8;85
5290;5;1967;2;3;15;121;90
2721;0;1945;2;3;9;9;57
5293;5;1967;3;5;29;119;90
2831;0;1946;1;1;1;10;57
2832;0;1946;4;1;19;3;57
2839;0;1946;2;3;9;0;57
2841;0;1946;1;4;4;8;57
2847;0;1946;3;3;15;0;57
2849;0;1946;3;1;13;3;57
2943;0;1947;4;5;23;10;57
2947;0;1947;4;4;22;8;57
2949;0;1947;4;1;19;9;57
2950;0;1947;2;6;12;0;57
2954;0;1947;3;1;13;9;57
2957;0;1947;3;6;18;0;57
2959;0;1947;1;2;2;8;57
2961;0;1947;1;1;1;9;57
2964;0;1947;3;5;17;10;57
2965;0;1947;4;6;24;0;57
2967;0;1947;1;6;6;0;57
2977;0;1946;3;2;14;10;59
2978;0;1946;2;4;10;8;59
2986;0;1946;3;6;18;9;89
3009;0;1946;4;4;22;8;58
3053;0;1948;1;1;1;10;57
3054;0;1948;1;3;3;8;57
3055;0;1948;3;5;17;8;57
3056;0;1948;3;1;13;10;57
3057;0;1948;4;5;23;5;57
3063;0;1948;2;2;8;3;57
3066;0;1948;3;6;18;0;57
3067;0;1948;2;4;10;9;57
3076;0;1947;3;4;16;8;60
3079;0;1947;3;2;14;5;89
3127;0;1947;4;3;21;3;57
3175;0;1948;4;4;22;9;89
3218;0;1948;4;1;19;10;57
5296;5;1967;2;7;19;8;90
5297;2;1964;4;6;24;5;89
3365;0;1949;2;4;10;5;89
3631;0;1951;4;5;23;8;57
3931;0;1953;4;1;19;5;58
4247;0;1957;4;6;24;10;57
4427;0;1957;3;5;17;0;-1
4713;0;1960;4;6;24;5;57
5194;1;1963;4;5;23;0;-1
5301;5;1967;1;7;7;8;89
5303;5;1967;2;12;24;3;90
5304;5;1967;3;1;25;123;90
5306;5;1967;1;5;5;119;90
5366;5;1967;2;10;22;3;90
5779;5;1967;2;2;14;119;60
52;0;1943;1;5;5;8;57
380;0;1943;1;6;6;3;57
378;0;1944;1;6;6;5;57
20;0;1943;4;3;21;9;57
190;0;1943;3;1;13;10;57
394;0;1943;2;2;8;5;57
2846;0;1946;1;5;5;5;57
325;0;1944;1;5;5;9;57
81;0;1944;2;2;8;5;57
120;0;1943;2;6;12;3;57
142;0;1944;2;1;7;9;57
247;0;1944;4;3;21;10;57
319;0;1943;1;2;2;5;57
436;0;1944;1;1;1;8;57
501;0;1943;1;3;3;9;57
2695;0;1945;1;3;3;9;57
2700;0;1945;2;5;11;0;57
417;0;1943;2;1;7;10;57
458;0;1944;1;4;4;0;57
2726;0;1944;3;6;18;3;59
61;0;1943;1;4;4;0;57
244;0;1943;3;6;18;3;57
404;0;1944;1;3;3;10;57
507;0;1944;1;2;2;5;57
2711;0;1945;1;5;5;0;57
2713;0;1945;2;2;8;8;57
2716;0;1945;2;1;7;10;57
2845;0;1946;1;2;2;3;57
2828;0;1946;3;5;17;5;57
2972;0;1947;1;3;3;3;57
225;0;1943;1;1;1;10;57
296;0;1943;4;5;23;5;57
315;0;1943;2;4;10;0;57
498;0;1943;2;3;9;9;57
594;0;1943;4;1;19;10;60
2719;0;1945;1;4;4;5;57
2833;0;1946;1;3;3;0;57
2940;0;1947;3;3;15;3;57
2952;0;1947;1;4;4;8;57
2966;0;1947;2;3;9;3;57
3080;0;1947;2;2;8;5;89
196;0;1943;3;3;15;9;57
212;0;1943;3;4;16;0;57
2703;0;1945;1;1;1;10;57
490;0;1943;4;4;22;0;89
3049;0;1948;3;4;16;9;57
2969;0;1947;1;5;5;10;57
2970;0;1947;2;4;10;8;57
3061;0;1948;1;2;2;3;57
4;0;1944;4;1;19;8;57
12;0;1944;4;4;22;0;57
37;0;1943;4;2;20;8;57
126;0;1943;2;5;11;5;57
160;0;1943;3;5;17;5;57
177;0;1944;3;1;13;8;57
295;0;1943;4;6;24;3;57
321;0;1944;2;5;11;9;57
400;0;1943;3;2;14;8;57
515;0;1944;2;4;10;0;57
520;0;1944;2;3;9;10;57
3146;0;1949;3;2;14;10;57
3150;0;1949;1;6;6;8;57
3052;0;1948;2;5;11;5;57
2734;0;1944;3;5;17;9;89
2761;0;1944;3;2;14;5;57
2799;0;1944;4;6;24;3;57
