LeagueId;Year;Award Name;Award Description;PlayerId;Retired
8;2009;Kultainen Kypärä;Player's MVP Award;8404;0
8;2011;Kultainen Kypärä;Player's MVP Award;7342;0
8;2013;Kultainen Kypärä;Player's MVP Award;7407;0
8;2018;Kultainen Kypärä;Player's MVP Award;11239;0
8;2019;Kultainen Kypärä;Player's MVP Award;1602;0
8;2023;Postseason Allstar 1 LW;Postseason Allstar 1 LW;15391;0
8;2023;Postseason Allstar 1 C;Postseason Allstar 1 C;7937;0
8;2023;Postseason Allstar 1 RW;Postseason Allstar 1 RW;11190;0
8;2024;Juha Rantasila Trophy;Most Goals by Defenceman;3946;0
9;2007;MVP;MVP;7565;0
9;2010;MVP;MVP;7540;0
9;2016;MVP;MVP;987;0
9;2018;MVP;MVP;11646;0
9;2021;MVP;MVP;8182;0
9;2022;MVP;MVP;8182;0
9;2010;Jacques Plante Trophy;Best Goalie;7540;0
9;2011;Jacques Plante Trophy;Best Goalie;7481;0
9;2012;Jacques Plante Trophy;Best Goalie;7481;0
9;2014;Jacques Plante Trophy;Best Goalie;7540;0
9;2015;Jacques Plante Trophy;Best Goalie;10068;0
9;2016;Jacques Plante Trophy;Best Goalie;7540;0
9;2017;Jacques Plante Trophy;Best Goalie;10068;0
9;2018;Jacques Plante Trophy;Best Goalie;7540;0
9;2021;Jacques Plante Trophy;Best Goalie;7540;0
9;2022;Jacques Plante Trophy;Best Goalie;1175;0
9;2023;Jacques Plante Trophy;Best Goalie;7643;0
9;2009;Rookie of the Year;Best Rookie;7572;0
9;2010;Rookie of the Year;Best Rookie;7532;0
9;2011;Rookie of the Year;Best Rookie;9073;0
9;2012;Rookie of the Year;Best Rookie;1753;0
9;2013;Rookie of the Year;Best Rookie;8662;0
9;2014;Rookie of the Year;Best Rookie;14185;0
9;2015;Rookie of the Year;Best Rookie;10051;0
9;2016;Rookie of the Year;Best Rookie;9059;0
9;2018;Rookie of the Year;Best Rookie;9101;0
9;2012;PostFinance Top Scorer;Most Points;617;0
9;2016;PostFinance Top Scorer;Most Points;987;0
9;2018;PostFinance Top Scorer;Most Points;11646;0
9;2020;PostFinance Top Scorer;Most Points;7760;0
9;2021;PostFinance Top Scorer;Most Points;8182;0
9;2022;PostFinance Top Scorer;Most Points;8182;0
9;2023;PostFinance Top Scorer;Most Points;11988;0
9;2024;PostFinance Top Scorer;Most Points;13998;0
10;2010;Hobey Baker Award;MVP;949;0
10;2011;Hobey Baker Award;MVP;4003;0
10;2012;Hobey Baker Award;MVP;4071;0
10;2014;Hobey Baker Award;MVP;16357;0
10;2015;Hobey Baker Award;MVP;15413;0
10;2020;Hobey Baker Award;MVP;13612;0
10;2023;Hobey Baker Award;MVP;661;0
