Year,Team ID,Team Name Override,Conference ID,Conference Override,Division ID,Division Override,Logo File Override,GP,W,L,T (OTL),PTS,GF,GA,Goal Differential,Result,PIM/G,PPG,PPG Against,PP Ch,SHG,SHG Against,SHC,PP%,PK%,Shots For,Shots Against
1982-83,25,,1,,1,,,80,26,45,9,61,293,383,-90,Missed Playoffs,17.04,67,77,318,2,17,325,21.1,76.3,2225,2660
1982-83,16,,1,,1,,,80,18,56,6,42,277,423,-146,Missed Playoffs,17,52,60,289,11,17,341,18,82.4,2138,2904
1983-84,14,,0,,0,,,80,59,16,5,123,369,234,135,BOWL CUP CHAMPION,17.94,56,61,326,11,7,335,17.2,81.8,2449,1865
1983-84,12,,0,,0,,,80,49,26,5,103,351,280,71,Lost Conference Quarter-Finals,17.96,73,50,320,12,6,319,22.8,84.3,2632,2160
1983-84,22,,0,,0,,,80,46,28,6,98,347,298,49,Lost Conference Semi-Finals,20.84,76,56,377,17,15,356,20.2,84.3,2638,2602
1983-84,9,,0,,0,,,80,38,36,6,82,362,334,28,Lost Conference Quarter-Finals,19.57,71,69,306,13,8,348,23.2,80.2,2273,2408
1983-84,11,,0,,0,,,80,33,40,7,73,364,375,-11,Missed Playoffs,21.54,70,66,327,7,6,368,21.4,82.1,2266,2585
1983-84,26,,0,,0,,,80,9,64,7,25,229,411,-182,Missed Playoffs,15.32,32,64,291,6,14,271,11,76.4,1959,2749
1983-84,24,,0,,1,,,80,56,20,4,116,417,286,131,Lost Conference Finals,17.09,79,65,337,15,16,347,23.4,81.3,2932,2073
1983-84,10,,0,,1,,,80,50,25,5,105,390,274,116,Lost Conference Quarter-Finals,19.36,97,48,365,16,8,329,26.6,85.4,2642,2155
1983-84,0,,0,,1,,,80,51,27,2,104,366,295,71,Lost Conference Semi-Finals,15.8,80,53,337,13,8,328,23.7,83.8,2396,2429
1983-84,20,,0,,1,,,80,45,34,1,91,384,339,45,Lost Conference Quarter-Finals,18.36,71,57,339,5,19,333,20.9,82.9,2699,2546
1983-84,19,,0,,1,,,80,19,56,5,43,271,426,-155,Missed Playoffs,18.18,56,82,345,11,17,344,16.2,76.2,1991,2831
1983-84,23,,0,,1,,,80,16,61,3,35,200,383,-183,Missed Playoffs,20.56,42,75,353,23,15,371,11.9,79.8,1846,2410
1983-84,17,,1,,0,,,80,49,27,4,102,403,302,101,Lost Conference Semi-Finals,16.74,72,60,336,10,14,295,21.4,79.7,2832,2220
