PlayerId;DraftId;Year;Round;Pick;Overall;Tam;Picked From
1517;0;1975;5;10000;73;22;-1
1517;40;1975;5;10000;71;39;-1
1518;0;1975;5;10000;75;13;-1
1518;40;1975;7;10000;90;36;-1
1519;0;1975;16;10000;216;19;-1
1520;0;1975;5;10000;87;11;-1
1521;0;1974;3;10000;40;20;-1
1521;40;1974;3;10000;41;32;-1
1522;0;1975;8;10000;133;8;-1
1522;40;1975;14;10000;175;35;-1
1533;16;1980;1;22;22;0;179
1535;16;1980;4;20;92;17;157
1538;0;1966;2;10000;9;8;-1
1539;0;1965;2;10000;6;10;-1
1539;16;1980;4;13;85;16;179
1540;0;1965;1;10000;2;8;-1
1540;16;1981;2;9;33;23;180
1541;16;1981;8;5;173;19;179
1546;16;1980;7;11;155;25;179
1549;16;1980;10;7;223;5;180
1551;0;1979;4;10000;68;18;-1
1556;16;1980;7;1;145;17;179
1557;16;1980;3;8;56;23;179
1566;16;1981;1;8;8;5;180
1578;16;1980;1;11;11;25;158
1583;16;1980;6;23;143;8;154
1584;0;1964;1;10000;3;10;-1
1585;0;1964;1;10000;4;8;-1
1586;16;1980;1;19;19;18;158
-1;16;1981;6;6;126;16;-1
1588;0;1965;2;10000;7;8;-1
1589;0;1969;3;10000;30;16;-1
1590;0;1969;4;10000;47;10;-1
1592;0;1969;6;10000;70;16;-1
1592;16;1980;10;17;233;20;179
1593;0;1970;6;10000;73;11;-1
1594;0;1970;6;10000;75;13;-1
1596;0;1970;8;10000;98;11;-1
1597;0;1970;9;10000;107;17;-1
1598;0;1970;10;10000;112;16;-1
1599;0;1971;5;10000;57;13;-1
1599;16;1981;5;20;116;0;179
1600;0;1971;5;10000;68;8;-1
1601;0;1971;6;10000;71;13;-1
1602;0;1971;6;10000;72;9;-1
1603;0;1971;6;10000;79;3;-1
1604;0;1971;7;10000;87;18;-1
1605;0;1971;7;10000;88;15;-1
1606;0;1971;7;10000;94;16;-1
1607;0;1971;7;10000;97;10;-1
1608;0;1971;7;10000;98;3;-1
1609;0;1971;8;10000;107;3;-1
1611;0;1972;5;10000;78;19;-1
1612;0;1972;7;10000;104;15;-1
1613;0;1972;7;10000;105;16;-1
1614;0;1972;7;10000;109;8;-1
1614;16;1980;5;18;114;12;180
1615;0;1972;8;10000;113;20;-1
1616;0;1972;8;10000;126;0;-1
1617;0;1972;9;10000;143;3;-1
1617;16;1981;3;21;69;8;179
1618;0;1973;3;10000;35;18;-1
1618;40;1973;2;10000;22;37;-1
1619;0;1973;3;10000;46;10;-1
1619;40;1973;8;10000;95;40;-1
1620;0;1973;5;10000;76;17;-1
1620;40;1973;6;10000;75;38;-1
1621;0;1973;5;10000;79;5;-1
1621;40;1973;4;10000;50;37;-1
1622;0;1973;6;10000;81;20;-1
1622;40;1973;6;10000;66;31;-1
1623;0;1973;6;10000;83;18;-1
1623;40;1973;4;10000;47;37;-1
1624;0;1973;6;10000;88;16;-1
1624;40;1973;5;10000;63;28;-1
1625;0;1973;6;10000;93;8;-1
1626;0;1973;7;10000;108;17;-1
1626;40;1973;8;10000;97;33;-1
1627;0;1973;7;10000;110;20;-1
1628;0;1973;8;10000;117;19;-1
1629;0;1973;8;10000;126;20;-1
1629;40;1973;7;10000;79;31;-1
1630;0;1973;9;10000;139;9;-1
1631;0;1973;10;10000;151;9;-1
1632;0;1973;10;10000;156;8;-1
1633;0;1973;11;10000;166;0;-1
1633;40;1973;9;10000;103;31;-1
1634;0;1973;12;10000;168;0;-1
1635;0;1974;3;10000;49;3;-1
1636;0;1974;4;10000;66;11;-1
1636;40;1974;2;10000;23;42;-1
1637;0;1974;6;10000;102;11;-1
1637;40;1974;9;10000;127;27;-1
1638;0;1974;6;10000;103;3;-1
1638;40;1974;10;10000;144;40;-1
1639;0;1974;6;10000;108;5;-1
1639;40;1974;13;10000;176;36;-1
1640;0;1974;7;10000;114;12;-1
1641;0;1974;7;10000;122;10;-1
1641;40;1974;11;10000;154;28;-1
1642;0;1974;9;10000;148;12;-1
1642;40;1974;13;10000;182;29;-1
1642;16;1980;10;24;240;18;180
1644;0;1974;9;10000;160;5;-1
1644;40;1974;7;10000;91;36;-1
1645;0;1974;10;10000;163;20;-1
1645;40;1974;7;10000;96;28;-1
1646;0;1974;10;10000;169;11;-1
1646;40;1974;4;10000;56;39;-1
1647;0;1974;11;10000;178;20;-1
1647;16;1981;7;5;149;19;181
1648;0;1974;11;10000;186;10;-1
1649;0;1974;11;10000;187;0;-1
1649;40;1974;12;10000;171;29;-1
1650;0;1974;12;10000;192;20;-1
1650;40;1974;6;10000;81;28;-1
1651;0;1974;13;10000;204;20;-1
1652;0;1974;13;10000;206;15;-1
1653;0;1974;19;10000;236;10;-1
1654;0;1974;20;10000;238;20;-1
1655;0;1974;22;10000;242;22;-1
1656;0;1974;25;10000;247;22;-1
1657;0;1975;9;10000;146;13;-1
1658;0;1975;9;10000;157;11;-1
1659;0;1975;9;10000;158;0;-1
1659;40;1975;9;10000;118;41;-1
1660;0;1975;10;10000;161;22;-1
1660;40;1975;2;10000;19;38;-1
1661;0;1975;10;10000;164;9;-1
1661;40;1975;10;10000;130;27;-1
1662;0;1975;10;10000;167;19;-1
1663;0;1975;10;10000;174;17;-1
1664;0;1975;11;10000;179;3;-1
1665;0;1975;11;10000;183;20;-1
1666;0;1975;11;10000;186;11;-1
1667;0;1975;11;10000;187;0;-1
1667;40;1975;7;10000;93;27;-1
1667;16;1981;8;23;191;15;180
1668;0;1975;13;10000;201;10;-1
1669;0;1975;13;10000;202;15;-1
1669;40;1975;11;10000;144;41;-1
1670;0;1976;3;10000;49;11;-1
1670;40;1976;9;10000;100;39;-1
1671;0;1976;3;10000;52;3;-1
1671;40;1975;5;10000;72;29;-1
1672;0;1976;4;10000;69;17;-1
1672;40;1976;4;10000;39;38;-1
1673;0;1976;4;10000;72;0;-1
1673;40;1976;9;10000;97;29;-1
1674;0;1976;5;10000;89;14;-1
1676;0;1976;7;10000;117;14;-1
1677;0;1976;8;10000;123;0;-1
1678;0;1976;10;10000;127;0;-1
1678;40;1976;7;10000;84;27;-1
1679;0;1977;4;10000;70;5;-1
1680;0;1977;5;10000;81;16;-1
1681;0;1977;5;10000;84;11;-1
1681;40;1977;6;10000;51;27;-1
1682;0;1977;7;10000;112;18;-1
1682;40;1977;8;10000;69;27;-1
1682;16;1981;6;22;142;24;181
1683;0;1977;7;10000;117;16;-1
1683;40;1977;8;10000;74;35;-1
1684;0;1977;7;10000;120;11;-1
1684;40;1977;7;10000;58;40;-1
1685;0;1977;7;10000;123;14;-1
1686;0;1977;11;10000;164;10;-1
1687;0;1977;11;10000;166;14;-1
1688;0;1977;12;10000;172;14;-1
1689;0;1977;13;10000;177;0;-1
1690;0;1977;15;10000;183;0;-1
1691;0;1978;3;10000;53;9;-1
1692;0;1978;4;10000;61;15;-1
1693;0;1978;5;10000;70;12;-1
1694;0;1978;5;10000;77;11;-1
1695;0;1978;5;10000;85;5;-1
1696;0;1978;6;10000;92;3;-1
1697;0;1978;6;10000;99;17;-1
1697;16;1981;5;19;115;14;180
1698;0;1978;7;10000;118;20;-1
1699;0;1978;8;10000;127;10;-1
1700;0;1978;8;10000;134;14;-1
1701;0;1978;9;10000;138;12;-1
1701;16;1981;4;9;81;23;179
1702;0;1978;9;10000;144;10;-1
1703;0;1978;10;10000;155;12;-1
1703;16;1981;2;8;32;5;179
1704;0;1978;10;10000;162;11;-1
1705;0;1978;10;10000;163;9;-1
1706;0;1978;10;10000;166;3;-1
1707;0;1978;11;10000;175;16;-1
1708;0;1978;11;10000;185;16;-1
1709;0;1978;11;10000;186;0;-1
1710;0;1978;12;10000;193;11;-1
1711;0;1978;12;10000;194;9;-1
1712;0;1978;13;10000;203;16;-1
1713;0;1978;13;10000;205;16;-1
1713;16;1981;3;23;71;9;179
1714;0;1978;13;10000;206;10;-1
1715;0;1978;14;10000;215;22;-1
1716;0;1978;14;10000;216;16;-1
1717;0;1978;14;10000;221;16;-1
1718;0;1978;16;10000;227;0;-1
1719;0;1978;18;10000;230;0;-1
1720;0;1979;5;10000;91;8;-1
1726;16;1980;5;4;100;3;181
1733;16;1981;3;11;59;26;180
1735;16;1981;1;15;15;25;181
1743;16;1981;4;3;75;22;179
1746;16;1980;6;24;144;18;180
1756;16;1982;7;21;165;18;181
1758;16;1980;8;23;191;8;179
1760;16;1981;6;19;139;14;180
1762;16;1981;3;19;67;19;181
1764;16;1980;5;24;120;18;181
1769;16;1981;4;19;91;18;180
1771;16;1982;7;16;160;20;179
1775;16;1980;7;24;168;18;179
1784;16;1981;6;18;138;20;180
1806;16;1981;6;11;131;26;181
1811;16;1981;5;3;99;22;180
1814;16;1981;2;4;28;278;159
1818;16;1981;2;24;48;25;179
1837;16;1981;7;7;151;9;180
1852;16;1981;5;12;108;11;179
1868;16;1980;10;19;235;24;180
1887;16;1981;6;1;121;17;155
1915;16;1981;6;4;124;278;155
1927;16;1981;7;15;159;3;180
1940;16;1981;4;24;96;18;179
1987;16;1980;9;1;193;17;157
2000;16;1980;10;20;236;14;179
2034;16;1980;8;15;183;280;159
2038;16;1980;5;9;105;26;179
2040;16;1980;10;4;220;3;180
2070;16;1980;7;15;159;280;174
2072;16;1981;5;1;97;17;181
2076;16;1981;5;21;117;8;181
2085;16;1981;6;9;129;23;155
2096;16;1981;7;23;167;15;186
2113;16;1981;3;16;64;10;181
2114;16;1981;8;20;188;0;180
2120;16;1980;8;17;185;20;179
2185;16;1981;7;9;153;23;158
2200;16;1981;5;9;105;23;179
2209;16;1981;6;10;130;280;155
2210;16;1981;6;5;125;19;181
2215;16;1980;6;1;121;17;157
2243;16;1981;7;24;168;18;179
2250;16;1981;8;10;178;280;155
2251;16;1980;8;16;184;279;159
2263;16;1980;5;1;97;17;175
2265;16;1980;9;5;197;15;181
2272;16;1980;9;15;207;280;158
2275;16;1981;4;7;79;9;181
2286;16;1980;6;7;127;5;180
2292;16;1981;5;5;101;19;181
2298;16;1980;9;17;209;20;179
2300;16;1981;3;17;65;12;179
2311;16;1980;9;7;199;5;179
2313;16;1980;4;23;95;8;179
2335;16;1981;6;2;122;25;180
2343;16;1981;2;15;39;11;180
2346;16;1981;7;22;166;24;181
2347;16;1980;6;3;123;10;179
2351;16;1980;3;15;63;280;161
2354;16;1980;4;19;91;24;179
2368;16;1980;6;2;122;9;181
2373;16;1981;8;1;169;17;179
2384;16;1981;5;13;109;21;179
2390;16;1980;8;2;170;9;181
2402;16;1980;7;18;162;12;180
2411;16;1981;7;12;156;11;180
2423;16;1980;10;1;217;17;179
2424;16;1980;9;2;194;9;180
2429;16;1981;5;15;111;3;180
2450;16;1980;4;18;90;12;156
2458;16;1980;3;21;69;21;180
2462;16;1981;2;20;44;0;160
2463;16;1980;5;16;112;279;155
2478;16;1980;3;10;58;278;180
2491;16;1980;5;15;111;280;154
2497;16;1980;8;22;190;0;179
2502;16;1980;10;9;225;26;181
-1;16;1982;8;10;178;5;-1
2522;16;1981;3;3;51;19;-1
2536;16;1981;1;10;10;11;179
-1;16;1982;8;19;187;278;-1
